title,description
one,Introduction to Text Data Mining  Agenda  DATA MINING WHAT IS IT? What is Data Mining? The Data Mining Process – CRISP-DM Where do we apply text data mining techniques? What do we have to do to get ready for text data mining? Data Mining Tasks and Text Mining What Data Mining Is Not Where does text data fit in as a variable? What is Text Data Mining? Term Frequency Analysis Keyword Analysis Sentiment Analysis Visualizing Text Data Coding Qualitative Data Named Entity Recognition Topic Recognition Text Similarity Scoring Visual Programming Visual Programming vs. Command Line Code Transformers What are some text analytic applications? text analytics
two,"Framing Analytical Questions CRISP–DM is the Leading Process Methodology CRISP–DM is the Leading Process Methodology The Critical Step in Text Data Mining is: Framing The Question Framing the Question How Does Data Become Knowledge? Where does this analysis fit in the Data Mining Process? Where does this analysis fit in the Data Mining Process? Where does this analysis fit in the Data Mining Process? Business Understanding: What is the Information Need? How do we Recognize an Information Need? How do we Recognize an Information Need? Business Understanding: Discovering the Context of Project What are some of the questions to help us discover the context? Identify the KPI The Gap Question Do Your Homework THE CRITICAL STEP IN ANALYTICS: FRAMING ANALYTICAL QUESTIONS THE CRITICAL STEP IN ANALYTICS: FRAMING ANALYTICAL QUESTIONS First, Dig Deeper Then Parse the Information Request Parsing the information need and three framed analytical questions Use SMART to Frame High-Quality Questions These are the Key Step In Framing Questions"
three,"Data Preparation Data Preparation and the CRISP-DM Process Acquiring, cleaning and organizing data takes up 80% of time of an analyst’s time The Data Cleaning Cycle ""Where does data preparation fit in the world of the analyst? "" The World of Data and Variables Where are Variables Defined? Example Data Dictionary Digital Encoding of Data Character Encoding Character Encoding Schemes Early Form of Encoding: Morse Code A more efficient code for transmission: The Baudot Code A modern Code for the Computer Era: ASCII-7 Codes Compared Unicode UTF-8 UTF-8 Encoding Data Types Data Storage Organization Protocols Some Data Storage/Organization Protocols Comma Separated Values Delimiter Separated Values Comma Separated Values Wrappers CSV Example Format of Files for Easy Analysis Case Study: Flat File Format Flat File Format Case Study: Is this a Flat File? Case Study: Is this a Flat File? Rubbermaid Flat File With Text Data Scraping and pasting and saving UTF-8 text file Additional Processing Additional Processing"
four,Word Frequency Analysis Data Mining- Continuing Model-Making Term Frequency Analysis is one of the Most Basic Text Mining Algorithms How do we count words? Why do we count words for business purposes? The Bag-of-Words Textual Data Model Converting a Text into a Bag-of-Words Use of a Stop Word List COUNTIF – A Powerful Tool Exercises Voyant on the Web Term Frequency using Voyant Additional Exercises
five,Keyword Analysis Data Mining- Continuing Model-Making Keyword Analysis is one of the Basic Text Mining Semantic Algorithms How do we count important words? Keyword Analysis – What is it? Why do we count keywords for business purposes? The Process How to do it – Example A Team Case Study 5 - Keywords
six,Sentiment Analysis Data Mining- Continuing Model-Making Sentiment Analysis is one of the Basic Text Mining Semantic Algorithms What is sentiment analysis? What is sentiment analysis? Applications of Sentiment Analysis in Business Sentiment Analysis Manual Computation Commercial Products Demo A Demo B Fine Grained Sentiment Analysis – The Most Popular The Process How to do it – Example A Demo A - Waffle Iron Reviews Demo B - Waffle Iron Reviews Case Study A Case Study A
seven,Coding Qualitative Data Data Mining- Continuing Model-Making Coding Qualitative Data Analysis is the Original Process for Text Data Mining What is Coding Qualitative Data analysis? What are the two kinds of Coding? Practice in this class What is a Code? A Manual Tagging/Machine Computation Process How does Inductive Coding Work? What is Deductive Coding?
eight,Visualizing Text Data data Mining- Continuing Model-Making Visualizing Text Data Data Visualization for Analysis Tools to Convert Text into Visuals Word Cloud - CV Links diagram - CV Trends diagram - CV WordTree - CV TermsBerry Plot - CV Artificial Word Cloud Analysis of key features as insight from the visuals Time Series Word Clouds
nine,Text Similarity Scoring Data Mining- Continuing with Model-Making Text Similarity Scoring What is Text Similarity Scoring? TF-IDF Scoring TF-IDF Scoring TF-IDF Scoring Simi Bot Results TF-IDF weighs distinctive words more TF-IDF weighs distinctive words more
ten,Named Entity Recognition Data Mining- Continuing with Model-Making Named Entity Recognition What is NER? How NER works How is NER used? What Does This Mean for Business? What is a named entity? Common Approaches to Extracting Named Entities Common Approaches to Extracting Named Entities Common Approaches to Extracting Named Entities Download and Install Stanford NER Using the Stanford NER
eleven,Topic Recognition Data Mining- Continuing with Model-Making Topic Extraction in Text Documents What is Topic Extraction? What is Information Retrieval? What is Topic Retrieval? What is Topic Retrieval? What is a topic? Tools for Topic Extraction Assumptions of all topic modeling algorithms Latent Semantic Analysis
twelve,"Visual Programming A Data Mining- Continuing with Model-Making Visual Programming Visual Programming vs. Command Line Code Visual Programming Environments Enterprise Guide Data Modeler Data Modeler ""Orange Python Visual Programming"""
