title,description
b1,Introduction to Text Data Mining Text Data Mining For Business Decisions Module 1B Introduction to Text Data Mining What is Text Data Mining?
b2,Agenda • What is Data Mining? • What is Text Mining? • What are some applications of Text Data Mining? • Assignments
b3,DATA MINING WHAT IS IT?DATA MINING WHAT IS IT?
b4,"What is Data Mining?• Data mining, in simple terms, is finding useful patterns in the data. • Knowledge discovery in databases is the nontrivial process of identifying valid, novel, potentially useful, and ultimately understandable patterns or relationships in the data to make important decisions"
b5,"The Data Mining Process – CRISP-DMbusiness understanding, data understanding, data preparation, modeling, evaluation, deployemet, data"
b6,"Where do we apply text data mining techniques?business understanding, data understanding, data preparation, modeling, evaluation, deployemet, data"
b7,"What do we have to do to get ready for text data mining?business understanding, data understanding, data preparation, modeling, evaluation, deployemet, data, framing analytical questions, module 2"
b8,"Data Mining Tasks and Text Miningregression, clustering, association, anomaly detection, time series forecasting, text mining, data mining, feature selection, classification, term frequency, keyword analysis, sentiment analysis, coding named entities, topic recognition, similarity scoring"
b9,What Data Mining Is Not• Descriptive statistics • Exploratory visualization • Dimensional slicing • Hypothesis testing • Queries
b10,"Where does text data fit in as a variable?Two kinds of data, four kinds of variables, Free Text  Customer opinions Survey text responses Word frequency, keywords, similarity Categorical Nomínal Cities Stores Gender Color Product Ordinal Years Months Ratings Likert Scale College level Age Summarize by counting, tabulate, frequency, Numeric {2.27,3.56.67.8} decimal {1,2,3,4,5} integer Likert Scale Age You can do math, apply formulas, summarize Numeric Date 11/12/21 as a date 48280.23 as a number Date Math on dates to get differences in months, minutes, etc."
b11,"What is Text Data Mining?term frequency analysis, keyword analysis, sentiment analysis, visualizing text data, coding qualitative data, name entity recognition, topic recognition, text similarity scoring, text data mining"
b12,"Term Frequency Analysis• Term frequency (TF) means how often a term occurs in a document. Term frequency is commonly used in Text Mining, Machine Learning, and Information Retrieval tasks. • For example: Term frequency is the number of times a given term or query appears within a search index. Term frequency is a key component for determining the relevance of a given document for a particular query, and is an essential piece of the widely used TF-IDF relevancy algorithm."
b13,"Keyword Analysis• Keyword analysis is the process of analyzing the keywords or search phrases that bring visitors to your website through organic and paid search. As such, keyword analysis is the starting point and cornerstone of search marketing campaigns. • By understanding what queries qualified visitors to your website type into search engines, search marketers can better customize their content and landing pages to drive more traffic and increase conversion rates. For this reason, keyword analysis is an important skill for both SEO and PPC experts."
b14,"Sentiment Analysis• Sentiment analysis (also known as opinion mining or emotion AI) is the use of natural language processing, text analysis, computational linguistics, and biometrics to systematically identify, extract, quantify, and study affective states and subjective information. • Sentiment analysis is widely applied to voice of the customer materials such as reviews and survey responses, online and social media, and healthcare materials for applications that range from marketing to customer service to clinical medicine."
b15,"Visualizing Text DataText visualization is the technique of using graphs, charts, or word clouds to showcase written data in a visual manner. This provides quick insight into the most relevant keywords in a text, summarizes content, and reveals trends and patterns across documents."
b16,"Coding Qualitative Data• Coding is the process of labeling and organizing your qualitative data to identify different themes and the relationships between them. • When coding customer feedback, you assign labels to words or phrases that represent important (and recurring) themes in each response. These labels can be words, phrases, or numbers; we recommend using words or short phrases, since they’re easier to remember, skim, and organize. • Coding qualitative research to find common themes and concepts is part of thematic analysis, which is part of qualitative data analysis. Thematic analysis extracts themes from text by analyzing the word and sentence structure."
b17,"Named Entity RecognitionNamed-entity recognition (NER) (also known as (named) entity identification, entity chunking, and entity extraction) is a subtask of information extraction that seeks to locate and classify named entities mentioned in unstructured text into pre-defined categories such as person names, organizations, locations, medical codes, time expressions, quantities, monetary values, percentages, etc."
b18,"Topic Recognition• Topic analysis is a Natural Language Processing (NLP) technique that allows us to automatically extract meaning from text by identifying recurrent themes or topics. • A topic model is a type of statistical model for discovering the abstract “topics” that occur in a collection of documents. • Topic models are a suite of algorithms that uncover the hidden thematic structure in document collections. These algorithms help us develop new ways to search, browse and summarize large archives of texts. • Topic models provide a simple way to analyze large volumes of unlabeled text. A “topic” consists of a cluster of words that frequently occur together."
b19,Text Similarity Scoring• What is text similarity? • Text similarity helps us determine how 'close' two pieces of text are both in surface closeness [lexical similarity] and meaning [semantic similarity].
b20,"Visual Programming• Visual programming is a type of programming language that lets humans describe processes using illustration. • Whereas a typical text-based programming language makes the programmer think like a computer, a visual programming language lets the programmer describe the process in terms that make sense to humans."
b21,"Visual Programming vs. Command Line Codepython visual programming, python code"
b22,"Transformers• A transformer is a deep learning model that adopts the mechanism of attention, differentially weighing the significance of each part of the input data. It is used primarily in the field of natural language processing (NLP) and in computer vision (CV)."
b23,What are some text analytic applications?• Word frequency analysis of web pages to determine keywords • Word/phrase location on text • Sentiment analysis • Analysis of a “corpus” - a set of static texts: – Contracts – Emails • Analysis of streaming text – Twitter feeds
b24,"text analyticstechniques, results, disciplines, document matching, search optimization, inverted index, eneity extraction, co-reference, relationship extraction, colocations, word association, sentiment analysis, tokenization, lemmatization, part-of-speech tagging, web content mining, web analytics, web structure analysis, document ranking, alert detection, document categorization, document similarity, document clustering, information retrieval, information extraction, concept extraction, natural languge processing, web mining, classification, clustering, statistics, machine learning, management science, artificial intelligence, computer science, other disciplines. text mining draws upon contributions of many text analytical components and knowledge input from many external disciplines (shown in the 'bar with upward arrow' at the bottom), which result in directional decisions affecting external results (shown by the arrow point to the right arrow at the top)."
